country,year,iso_code,co2_energy,primary_energy_consumption,reduce_2_primary_energy_consumption,reduce_2_5_primary_energy_consumption,reduce_5_primary_energy_consumption,reduce_10_primary_energy_consumption,reduce_25_primary_energy_consumption,2.5,5,7.5,10,20
Thailand,1965,THA,7.431,30.707,,,,,,,,,,
Thailand,1966,THA,9.478,36.594,,,,,,,,,,
Thailand,1967,THA,12.17,41.678,,,,,,,,,,
Thailand,1968,THA,17.058,53.472,,,,,,,,,,
Thailand,1969,THA,14.514,56.474,,,,,,,,,,
Thailand,1970,THA,15.338,67.274,,,,,,,,,,
Thailand,1971,THA,19.225,74.517,,,,,,,,,,
Thailand,1972,THA,21.793,90.427,,,,,,,,,,
Thailand,1973,THA,24.356,95.888,,,,,,,,,,
Thailand,1974,THA,24.143,99.765,,,,,,,,,,
Thailand,1975,THA,24.226,110.117,,,,,,,,,,
Thailand,1976,THA,28.606,116.284,,,,,,,,,,
Thailand,1977,THA,31.853,127.923,,,,,,,,,,
Thailand,1978,THA,34.793,136.443,,,,,,,,,,
Thailand,1979,THA,36.397,145.007,,,,,,,,,,
Thailand,1980,THA,39.684,145.361,,,,,,,,,,
Thailand,1981,THA,37.573,146.198,,,,,,,,,,
Thailand,1982,THA,37.306,149.822,,,,,,,,,,
Thailand,1983,THA,41.719,164.249,,,,,,,,,,
Thailand,1984,THA,45.165,182.116,,,,,,,,,,
Thailand,1985,THA,47.763,190.292,,,,,,,,,,
Thailand,1986,THA,48.818,202.566,,,,,,,,,,
Thailand,1987,THA,55.725,231.225,,,,,,,,,,
Thailand,1988,THA,65.575,260.218,,,,,,,,,,
Thailand,1989,THA,76.793,301.15,,,,,,,,,,
Thailand,1990,THA,86.554,357.663,,,,,,,,,,
Thailand,1991,THA,95.093,394.577,,,,,,,,,,
Thailand,1992,THA,104.943,431.865,,,,,,,,,,
Thailand,1993,THA,121.626,490.429,,,,,,,,,,
Thailand,1994,THA,134.144,549.772,,,,,,,,,,
Thailand,1995,THA,156.299,615.349,,,,,,,,,,
Thailand,1996,THA,174.785,696.353,,,,,,,,,,
Thailand,1997,THA,182.411,732.576,,,,,,,,,,
Thailand,1998,THA,161.978,674.907,,,,,,,,,,
Thailand,1999,THA,170.345,715.735,,,,,,,,,,
Thailand,2000,THA,173.616,741.95,,,,,,,,,,
Thailand,2001,THA,186.23,782.477,,,,,,,,,,
Thailand,2002,THA,196.795,848.256,,,,,,,,,,
Thailand,2003,THA,206.135,912.103,,,,,,,,,,
Thailand,2004,THA,220.822,990.232,,,,,,,,,,
Thailand,2005,THA,227.823,1021.629,,,,,,,,,,
Thailand,2006,THA,231.651,1043.471,,,,,,,,,,
Thailand,2007,THA,236.439,1089.579,,,,,,,,,,
Thailand,2008,THA,233.155,1104.998,,,,,,,,,,
Thailand,2009,THA,246.626,1147.096,,,,,,,,,,
Thailand,2010,THA,261.588,1222.372,,,,,,,,,,
Thailand,2011,THA,259.517,1253.703,,,,,,,,,,
Thailand,2012,THA,276.617,1342.8,,,,,,,,,,
Thailand,2013,THA,290.258,1350.038,,,,,,,,,,
Thailand,2014,THA,285.424,1392.312,,,,,,,,,,
Thailand,2015,THA,288.958,1423.438,,,,,,,,,,
Thailand,2016,THA,289.034,1452.434,,,,,,,,,,
Thailand,2017,THA,292.664,1478.099,,,,,,,,,,
Thailand,2018,THA,281.804,1523.265,,,,,,,,,,
Thailand,2019,THA,289.55,1523.95,,,,,,,,,,
Thailand,2020,THA,277.429,1408.267,,,,,,,,,,
Thailand,2021,THA,278.192,1419.349,,,,,,,,,,
Thailand,2021,THA,,,1419.349,1419.349,1419.349,1419.349,1419.349,278.192,278.192,278.192,278.192,278.192
Thailand,2022,THA,,,1390.96,1383.87,1348.38,1277.41,1135.48,287.70401,287.70401,286.11392,283.89004,270.62406
Thailand,2023,THA,,,1363.14,1349.27,1280.96,1149.67,908.38,270.62406,270.62406,287.70401,287.99918,243.65059
Thailand,2024,THA,,,1335.88,1315.54,1216.91,1034.71,726.71,253.13153,253.13153,282.88421,286.77026,230.29021
Thailand,2025,THA,,,1309.16,1282.65,1156.07,931.23,581.37,243.65059,243.65059,270.62406,282.88421,208.62563
Thailand,2026,THA,,,1282.98,1250.58,1098.27,838.11,465.09,234.21944,234.21944,267.9082,270.62406,194.39744
Thailand,2027,THA,,,1257.32,1219.32,1043.35,754.3,372.07,231.07106,231.07106,253.66926,267.9082,176.14816
Thailand,2028,THA,,,1232.17,1188.83,991.18,678.87,297.66,223.32558,223.32558,248.03361,255.81492,168.69328
Thailand,2029,THA,,,1207.53,1159.11,941.63,610.98,238.13,210.79759,210.79759,243.65059,253.13153,139.32613
Thailand,2030,THA,,,1183.38,1130.14,894.54,549.88,190.5,204.91053,204.91053,242.18073,248.03361,131.72439
Thailand,2031,THA,,,1159.71,1101.88,849.82,494.9,152.4,197.78129,197.78129,234.21944,243.65059,121.94333
